ID,Route
30791,"Piraeus,La Spezia,Genoa,Fos,Valencia,Piraeus,Jeddah,Colombo,Singapore,Hong Kong,Qingdao,Shanghai,Ningbo-Zhoushan,Kaohsiung,Hong Kong,Shenzhen,Singapore,Piraeus"
30792,"Marsaxlokk,Valencia,Barcelona,Fos,Genoa,Marsaxlokk,Beirut,Jeddah,Jebel Ali,Port Kelang,Xiamen,Qingdao,Busan,Shanghai,Ningbo-Zhoushan,Guangzhou,Shenzhen,Singapore,Marsaxlokk"
30793,"Port Said,Beirut,Piraeus,Yarimca,Istanbul,Constantza,Odessa,Istanbul,Mersin,Port Said,Jeddah,Port Kelang,Busan,Shanghai,Ningbo-Zhoushan,Kaohsiung,Xiamen,Shenzhen,Singapore,Port Said"
30794,"Ashdod,Haifa,Alexandria,Piraeus,Jeddah,Tanjung Pelepas,Shenzhen,Kaohsiung,Qingdao,Shanghai,Ningbo-Zhoushan,Taipei,Shenzhen,Shenzhen,Singapore,Tanjung Pelepas,Ashdod"
30795,"Marsaxlokk,Koper,Trieste,Rijeka,Venice,Koper,Marsaxlokk,Damietta,Jeddah,Port Kelang,Shenzhen,Shanghai,Ningbo-Zhoushan,Busan,Shenzhen,Singapore,Port Said,Marsaxlokk"
30796,"Southampton,Rotterdam,Port Kelang,Singapore,Laem Chabang,Jakarta,Singapore,Port Kelang,Tangier,Southampton"
30821,"Rotterdam,Hamburg,Southampton,Le Havre,Singapore,Kobe,Nagoya,Shimizu,Tokyo,Singapore,Jeddah,Rotterdam"
30822,"Southampton,Hamburg,Rotterdam,Le Havre,Tangier,Jebel Ali,Hong Kong,Tianjin,Dalian,Qingdao,Shanghai,Ningbo-Zhoushan,Hong Kong,Shenzhen,Singapore,Tangier,Southampton"
30823,"Rotterdam,Hamburg,Antwerp,London-Gateway,Piraeus,Singapore,Hong Kong,Xiamen,Kaohsiung,Shenzhen,Rotterdam"
30824,"Rotterdam,Hamburg,Antwerp,Southampton,Shenzhen,Shenzhen,Busan,Ningbo-Zhoushan,Shanghai,Rotterdam"
30825,"Rotterdam,Hamburg,Antwerp,London-Gateway,Jeddah,Colombo,Singapore,Laem Chabang,Ho Chi Minh City,Singapore,Colombo,Rotterdam"
30831,"Barcelona,Valencia,Fos,Genoa,Damietta,Singapore,Shenzhen,Qingdao,Shanghai,Ningbo-Zhoushan,Shenzhen,Singapore,Damietta,Barcelona"
30832,"Genoa,La Spezia,Barcelona,Valencia,Singapore,Hong Kong,Busan,Ningbo-Zhoushan,Shanghai,Kaohsiung,Shenzhen,Singapore,Jeddah,Genoa"
30833,"Ashdod,Piraeus,Istanbul,Izmir,Mersin,Jeddah,Singapore,Kaohsiung,Busan,Shanghai,Ningbo-Zhoushan,Shenzhen,Singapore,Jeddah,Ashdod"
32316,"Hamburg,Goteborg,Antwerp,Genoa,Istanbul,Port Said,Bandar Abbas,Damietta,Hamburg"
35131,"Tangier,Fos,Genoa,Marsaxlokk,Damietta,Jeddah,Khor Fakkan,Jebel Ali,Karachi,Mundra,Mumbai,Jeddah,Marsaxlokk,La Spezia,Genoa,Barcelona,Valencia,Tangier"
35141,"Hamburg,Antwerp,London-Gateway,Tangier,Jeddah,Khor Fakkan,Jebel Ali,Karachi,Mumbai,Mundra,Jeddah,Tangier,Hamburg"
35231,"Istanbul,Constantza,Novorossisk,Chornomorsk,Constantza,Istanbul,Iskenderun,Damietta,Port Said,Jeddah,Salalah,Jebel Ali,Pipavav,Hazira,Mumbai,Jebel Ali,Salalah,Port Said,Damietta,Yarimca,Istanbul"
35232,"Port Said,Marsaxlokk,Tangier,Algeciras,Valencia,Barcelona,Genoa,Port Said,Jeddah,Salalah,Jebel Ali,Dammam,Jubail,Abu Dhabi,Jebel Ali,Salalah,Jeddah,Aqaba,Port Said"
35331,"Felixstowe,Hamburg,Antwerp,Rotterdam,Sines,Gioia Tauro,King Abdullah,Colombo,Mumbai,Mundra,King Abdullah,Piraeus,Barcelona,Felixstowe"
35332,"Southampton,Rotterdam,Antwerp,Felixstowe,Dunkirk,Le Havre,King Abdullah,Djibouti,Karachi,Mumbai,Hazira,Mundra,King Abdullah,Gioia Tauro,Tangier,Southampton"
35334,"Port Said,Mersin,Istanbul,Tekirdag,Piraeus,Iskenderun,King Abdullah,Salalah,Jebel Ali,Doha,Jubail,Sohar,Mundra,Mumbai,Hazira,Salalah,King Abdullah,Port Said"
35351,"Alexandria,Haifa,Mersin,Istanbul,Mundra,Mumbai,Hazira,Colombo,Alexandria"
35901,"Karachi,Mumbai,Mundra,Haifa,Valencia,NewYork-NewJersey,Savannah,Charleston,Freeport (Bah),Barcelona,King Abdullah,Jebel Ali,Karachi"
35961,"Damietta,Piraeus,Marsaxlokk,Aliaga,Mersin,Port Said,Khor Fakkan,Karachi,Mundra,Mumbai,Djibouti,Jeddah,Damietta"
36038,"Singapore,Tanjung Pelepas,Jebel Ali,Djibouti,Jeddah,Port Sudan,Djibouti,Salalah,Laem Chabang,Singapore"
